Seq,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeoBks,ItalCook,ItalAtlas,ItalArt,Related purchase,Florence
61,1,173,14,11,56,1,0,6,2,0,0,0,0,0,0,0,?
62,0,172,14,7,36,0,0,0,0,1,2,3,0,0,0,5,?
63,1,167,10,1,10,0,0,0,0,0,0,0,0,0,0,0,?
64,0,166,14,2,16,0,1,0,0,0,0,0,0,0,0,0,?
65,1,164,14,2,20,0,0,0,1,0,1,0,0,0,0,1,?
66,0,159,20,2,24,0,0,0,1,0,1,0,0,0,0,1,?
67,1,154,10,7,46,0,1,0,1,0,1,3,0,0,0,4,?
68,0,153,36,2,42,0,1,1,0,0,0,0,0,0,0,0,?
69,1,148,2,1,2,0,0,0,0,0,0,0,0,0,0,0,?
70,0,148,16,1,16,0,0,1,0,0,0,0,0,0,0,0,?
71,1,145,10,1,10,0,0,0,0,0,1,0,1,0,0,2,?
72,1,140,2,1,2,0,0,0,0,0,0,0,0,0,0,0,?
73,1,140,10,2,14,0,1,0,0,0,0,0,0,0,0,0,?
74,1,134,10,2,12,0,0,0,0,0,0,0,0,0,0,0,?
75,1,132,16,6,30,2,1,0,1,0,1,1,0,0,0,2,?
76,0,130,22,2,24,1,1,0,0,0,0,0,0,0,0,0,?
77,1,128,12,1,12,0,0,0,0,0,1,0,0,0,0,1,?
78,1,127,14,2,22,2,0,0,0,0,0,0,0,0,1,1,?
79,0,122,10,2,18,1,0,0,0,0,0,0,0,0,0,0,?
80,1,120,2,3,20,1,0,0,0,0,0,0,0,0,0,0,?
81,0,112,24,2,32,0,0,0,0,0,0,1,0,0,0,1,?
82,0,110,8,2,14,0,0,1,0,0,0,0,0,0,0,0,?
83,1,104,16,1,16,1,0,0,0,0,0,0,0,0,0,0,?
84,0,98,18,1,18,0,0,0,0,0,0,0,1,0,0,1,?
85,1,91,24,6,56,2,0,1,1,1,0,0,0,0,0,0,?
86,0,87,16,1,16,0,0,1,0,0,0,0,1,0,0,1,?
87,1,83,14,1,14,0,1,0,0,0,2,0,0,0,0,2,?
88,0,81,16,1,16,0,0,0,1,0,0,0,0,0,0,0,?
89,0,78,8,2,12,0,0,0,0,0,1,0,0,0,0,1,?
90,1,75,10,4,18,0,0,0,0,0,0,0,1,0,0,1,?
91,1,67,4,4,14,0,0,1,0,0,0,0,0,0,0,0,?
92,1,66,14,2,22,2,0,0,0,0,1,0,2,0,0,3,?
93,1,60,30,2,38,1,0,1,0,0,0,0,0,0,0,0,?
94,1,59,16,1,16,0,0,0,1,0,0,0,0,0,0,0,?
95,1,49,34,1,34,0,0,1,0,0,0,0,0,0,0,0,?
96,1,43,2,2,4,0,0,0,0,0,0,0,0,0,0,0,?
97,0,37,10,1,10,0,0,0,0,0,4,0,0,0,0,4,?
98,1,33,6,1,6,0,0,0,0,0,0,0,1,0,0,1,?
99,1,26,12,1,12,0,0,0,0,0,1,0,0,0,0,1,?
100,0,20,10,1,10,0,0,0,0,0,0,0,0,0,0,0,?
