Seq,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeoBks,ItalCook,ItalAtlas,ItalArt,Related purchase,Florence
129,1,392,8,9,46,3,1,2,1,0,0,0,0,0,0,0,0
130,1,390,2,8,20,0,0,1,0,1,0,0,0,0,0,0,0
131,1,390,10,9,32,0,2,0,1,1,0,0,0,0,1,1,1
132,1,390,10,8,28,1,0,4,1,0,0,0,0,0,0,0,0
133,1,389,16,7,38,3,0,2,0,1,0,2,0,0,0,2,0
134,1,389,8,10,50,0,2,3,2,0,1,1,0,0,0,2,0
135,1,388,12,8,54,2,1,1,0,1,1,1,0,0,0,2,0
136,1,387,30,12,80,2,1,3,2,1,1,2,0,0,0,3,0
137,1,387,8,7,26,0,2,3,0,0,0,2,0,0,0,2,0
138,1,387,6,11,66,1,0,1,4,0,1,2,0,2,0,5,1
139,1,385,22,11,70,2,1,3,1,1,0,0,0,0,0,0,0
140,1,384,10,8,46,3,0,1,1,1,1,0,0,0,0,1,0
141,1,384,6,8,26,1,0,1,1,1,0,0,1,1,0,2,0
142,0,384,10,11,34,1,2,1,0,3,2,1,0,0,0,3,0
143,0,384,34,7,50,3,2,1,0,0,0,1,0,0,0,1,0
144,1,384,14,8,42,1,0,1,3,2,1,1,0,1,0,3,0
145,1,383,14,12,58,1,1,4,1,3,1,1,0,0,0,2,0
146,1,382,2,11,30,2,0,3,1,0,0,1,1,0,0,2,0
147,0,382,8,12,42,3,1,0,0,1,0,1,3,0,0,4,0
148,1,381,2,9,44,0,0,3,0,1,0,1,0,0,0,1,0
149,1,381,8,8,26,2,0,1,1,1,0,1,0,0,0,1,0
150,1,380,22,6,54,2,0,1,1,0,0,0,0,0,0,0,0
151,1,380,16,11,76,3,3,2,1,1,0,0,0,0,0,0,0
152,1,380,8,6,34,2,1,0,0,1,0,0,0,0,0,0,0
153,0,380,8,9,54,1,1,3,1,0,0,0,0,0,0,0,0
154,1,379,10,7,34,0,0,1,0,1,2,3,0,1,0,6,0
155,1,378,10,7,50,0,1,1,1,0,2,1,0,0,0,3,0
156,0,378,12,11,44,1,1,2,2,2,0,0,0,0,0,0,0
157,0,377,14,12,60,3,2,1,2,1,1,2,0,0,0,3,0
158,1,377,4,11,48,0,1,4,0,1,1,1,1,1,1,5,0
159,1,376,10,7,40,0,1,1,2,0,0,2,0,0,1,3,0
160,1,375,8,9,38,2,1,0,1,1,1,1,0,0,0,2,0
161,0,374,36,11,66,3,1,2,1,2,0,2,0,0,0,2,0
162,1,374,2,10,26,2,1,0,0,0,0,0,0,0,0,0,1
163,0,374,22,10,80,2,2,2,2,0,0,1,0,0,0,1,0
164,1,374,16,6,44,1,0,2,0,1,0,3,1,0,0,4,0
165,0,374,20,6,46,1,2,1,0,1,0,3,0,0,0,3,0
166,1,373,6,10,54,1,1,2,3,1,0,1,0,0,1,2,1
167,1,372,20,8,66,2,0,3,1,1,0,1,1,1,0,3,0
168,1,372,30,11,60,4,1,3,1,1,1,0,1,1,1,4,0
169,1,372,12,7,48,1,1,1,2,1,0,1,0,0,1,2,0
170,1,372,16,12,86,0,0,2,2,2,0,1,1,0,0,2,0
171,0,372,8,5,32,0,1,1,1,0,1,1,0,0,0,2,0
172,0,371,14,5,38,4,1,0,0,0,0,4,0,0,0,4,0
173,1,371,10,10,34,1,2,1,1,1,0,0,0,0,0,0,0
174,1,371,16,6,48,3,0,2,0,0,0,1,0,0,0,1,0
175,1,370,14,12,68,2,1,3,2,0,1,2,0,0,0,3,0
176,1,370,30,5,46,1,0,0,1,0,0,1,0,0,0,1,0
177,1,370,14,12,42,2,1,1,3,3,1,1,0,2,0,4,0
178,1,369,12,8,52,1,0,2,0,1,0,1,0,0,0,1,0
179,0,369,16,9,60,3,0,2,1,1,0,1,0,0,0,1,0
180,1,369,22,7,52,2,1,3,0,0,0,1,0,0,0,1,0
181,1,368,12,11,62,3,0,3,1,1,0,2,0,0,0,2,0
182,0,368,36,5,62,1,2,1,0,1,0,2,0,0,0,2,0
183,1,368,24,11,74,2,1,1,1,0,0,2,0,0,0,2,0
184,1,368,4,10,50,0,3,0,1,2,0,0,0,0,0,0,0
185,1,367,20,8,44,2,0,2,1,1,0,2,0,0,0,2,0
186,0,367,26,7,50,0,0,4,1,1,0,3,0,0,0,3,0
187,1,367,2,12,28,0,1,1,1,1,0,3,0,0,0,3,0
188,1,367,24,5,42,1,1,1,0,0,0,3,0,0,0,3,0
189,1,366,10,12,70,3,0,2,1,0,1,2,0,0,0,3,0
190,1,366,10,9,36,0,1,4,0,1,0,1,0,0,0,1,0
191,0,366,32,10,88,4,1,2,1,0,0,1,0,0,1,2,0
192,1,366,8,12,48,2,1,0,2,0,0,1,0,1,0,2,0
193,1,365,12,6,46,2,1,0,0,0,0,2,0,0,0,2,0
194,1,365,8,6,22,2,1,1,0,0,0,1,0,0,0,1,0
195,0,365,14,6,42,0,0,2,1,0,0,1,0,0,0,1,0
196,1,364,14,8,54,2,2,2,0,0,1,1,1,0,0,3,0
197,1,364,16,8,60,0,1,3,0,0,1,3,0,0,0,4,0
198,1,364,14,8,52,3,0,1,1,2,1,0,0,0,0,1,0
199,1,364,32,6,50,1,0,1,0,0,3,1,0,0,0,4,0
200,1,364,2,9,42,1,1,0,2,0,0,0,0,0,0,0,0
201,0,364,16,8,58,2,1,2,1,0,0,0,0,0,0,0,0
202,0,364,16,8,54,2,0,3,3,0,0,0,0,0,0,0,0
203,1,364,16,5,36,1,1,2,0,0,0,1,0,0,0,1,0
204,1,363,2,12,28,0,1,2,1,0,1,1,1,0,0,3,0
205,1,363,14,5,38,0,0,2,0,1,0,2,0,0,0,2,0
206,1,363,16,10,40,2,0,2,3,0,1,2,0,0,0,3,1
207,1,363,4,7,20,1,1,1,0,0,0,2,0,1,0,3,0
208,1,363,28,5,48,2,0,0,0,0,0,2,1,1,0,4,0
209,1,362,14,5,42,1,0,2,0,1,0,1,1,1,0,3,0
210,1,362,18,12,78,2,1,4,3,1,0,1,1,0,0,2,0
211,1,362,2,6,20,1,0,0,0,0,0,1,0,0,0,1,0
212,0,362,12,9,36,1,0,2,1,0,0,1,0,0,1,2,0
213,1,362,16,11,48,1,0,1,3,0,0,0,0,0,0,0,0
214,1,361,6,6,36,1,0,2,0,0,1,1,1,0,1,4,1
215,0,361,16,11,80,2,1,6,0,2,0,0,0,0,0,0,0
216,0,361,10,12,64,3,1,3,2,1,0,0,0,2,0,2,0
217,1,360,30,9,74,1,2,3,0,1,0,1,0,0,0,1,0
218,1,359,18,9,48,1,0,3,2,0,2,1,0,0,0,3,0
219,0,359,2,4,14,1,0,0,0,0,0,0,0,0,0,0,0
220,1,359,2,11,66,4,1,3,1,0,0,1,0,0,0,1,0
221,0,359,12,11,70,3,1,1,1,1,0,0,0,0,0,0,0
222,0,358,6,10,50,1,2,0,1,1,1,0,0,1,1,3,0
223,1,358,6,7,40,2,1,1,0,0,1,3,0,1,0,5,0
224,1,358,10,8,48,0,2,2,0,0,0,3,0,0,0,3,0
225,1,357,8,5,36,1,0,3,0,0,0,0,0,0,0,0,0
226,1,357,4,8,28,1,1,2,0,0,0,3,0,0,0,3,0
227,1,357,8,12,72,2,0,3,1,0,0,1,1,1,1,4,0
228,0,357,8,9,26,3,0,1,0,1,2,1,0,0,0,3,0
229,0,356,4,6,22,1,0,0,1,0,0,0,0,0,0,0,1
230,1,356,12,4,26,0,1,2,0,0,0,0,0,0,0,0,0
231,1,356,12,9,62,1,1,2,1,0,1,0,0,0,0,1,0
232,1,356,2,5,24,0,0,2,0,0,0,0,0,0,0,0,0
233,1,355,16,5,28,1,0,2,0,1,1,0,0,0,0,1,0
234,1,355,14,8,30,2,0,4,0,1,1,0,0,0,0,1,0
235,1,355,22,7,48,3,1,1,2,0,0,1,0,0,0,1,0
236,0,354,6,10,56,1,3,4,1,0,0,0,0,0,0,0,0
237,0,354,26,7,42,1,2,2,0,0,0,2,1,0,0,3,0
238,1,354,4,12,48,2,2,0,3,0,0,2,0,0,0,2,0
239,0,354,24,4,32,1,1,0,1,0,0,1,0,0,0,1,0
240,0,354,10,10,60,1,1,2,0,2,1,2,1,0,1,5,0
241,1,353,16,9,42,1,0,2,2,3,0,1,0,0,0,1,1
242,1,353,16,11,52,2,0,2,3,1,0,1,1,0,0,2,0
243,0,353,16,9,36,2,1,3,0,0,0,1,0,0,0,1,1
244,1,352,36,10,60,1,1,7,0,0,0,1,0,0,1,2,0
245,1,351,36,4,50,1,1,0,0,0,2,0,0,0,0,2,0
246,1,351,10,9,62,2,1,2,1,0,2,0,1,0,2,5,1
247,1,351,8,4,20,1,0,1,0,0,0,1,0,0,0,1,0
248,0,351,30,8,60,4,2,1,0,0,0,0,0,0,1,1,0
249,1,351,2,12,60,4,0,0,3,0,2,0,0,0,1,3,0
250,1,350,14,5,28,3,0,0,1,0,0,1,0,0,0,1,0
251,1,350,4,7,38,2,0,3,1,0,0,0,0,0,0,0,0
252,1,350,20,5,38,1,1,1,2,0,0,0,1,0,0,1,0
253,1,350,12,12,56,2,2,0,2,0,1,2,0,0,0,3,0
254,0,350,4,5,24,1,0,0,0,0,0,0,0,0,0,0,0
255,1,350,12,9,46,1,3,1,1,0,0,0,0,1,0,1,0
256,1,350,12,8,50,2,1,1,1,1,0,1,0,1,0,2,0
257,1,349,14,5,30,0,0,2,1,0,0,1,1,0,0,2,0
258,1,349,16,11,50,3,1,1,1,0,0,1,1,0,0,2,0
259,1,349,12,7,46,3,0,2,0,0,0,2,0,0,0,2,0
260,0,348,6,4,22,2,0,0,0,1,0,0,0,0,0,0,0
261,1,348,16,4,38,1,0,1,2,0,0,0,0,0,0,0,1
262,1,348,14,8,58,0,0,5,0,2,0,0,0,0,0,0,0
263,1,347,10,6,28,2,0,1,1,0,0,0,1,0,0,1,0
264,1,347,4,4,14,0,0,0,1,0,0,0,0,0,0,0,0
265,1,347,4,7,40,1,1,2,1,0,0,0,0,1,0,1,0
266,1,347,24,12,84,3,2,2,1,1,0,0,0,0,0,0,0
267,0,347,36,6,54,1,0,4,0,0,0,0,1,0,1,2,0
268,1,346,2,10,52,2,1,2,0,0,2,2,0,0,0,4,0
269,1,346,32,10,58,2,1,1,1,3,0,1,0,0,0,1,0
270,0,346,28,11,88,3,0,3,1,2,0,1,0,0,1,2,0
271,1,345,20,11,84,1,0,1,0,2,3,4,0,0,0,7,1
272,1,345,16,12,72,1,1,4,2,0,1,0,1,0,0,2,0
273,1,344,14,9,60,2,3,3,0,0,0,1,0,0,0,1,0
274,0,344,24,10,80,1,1,2,0,2,0,0,0,0,0,0,1
275,1,344,36,4,50,2,0,1,0,1,1,0,0,0,0,1,0
276,1,343,10,11,58,3,2,2,0,1,0,2,0,0,0,2,0
277,0,343,10,12,66,2,2,1,1,2,0,2,0,2,0,4,0
278,1,343,14,3,24,0,0,0,1,1,1,0,0,0,0,1,0
279,0,343,16,9,36,3,1,0,1,2,1,0,0,0,0,1,0
280,0,342,16,5,36,3,0,1,0,1,0,0,0,0,0,0,0
281,1,342,22,9,70,2,2,4,0,0,0,3,0,1,0,4,0
282,1,342,8,6,30,1,1,3,0,0,0,1,0,0,0,1,0
283,1,342,22,5,46,0,1,1,2,0,0,1,0,0,2,3,0
284,1,341,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0
285,1,341,12,7,44,1,1,2,1,1,0,0,1,0,0,1,0
286,1,341,12,11,50,4,1,3,1,1,0,2,0,0,1,3,0
287,1,341,26,8,72,2,1,0,2,0,0,2,0,0,0,2,0
288,0,341,8,6,40,2,0,1,0,1,0,0,0,0,0,0,0
289,0,341,24,4,36,0,1,1,1,1,0,0,0,0,0,0,0
290,1,340,12,6,30,2,1,1,0,0,0,1,0,0,0,1,0
291,0,340,14,10,70,2,2,1,1,1,1,2,0,0,0,3,0
292,0,340,30,10,56,2,1,0,2,3,0,0,0,0,0,0,0
293,0,339,8,7,46,1,1,0,2,1,1,0,0,0,0,1,0
294,0,339,28,4,50,0,0,3,0,1,2,1,0,0,0,3,0
295,1,338,14,3,30,1,1,0,1,0,0,0,0,0,0,0,0
296,0,338,6,8,54,1,2,2,1,0,1,0,1,0,0,2,0
297,1,338,10,12,54,2,1,5,3,0,0,0,0,0,0,0,0
298,1,338,12,8,46,2,0,3,1,1,1,0,0,0,0,1,0
299,0,337,10,10,66,3,1,2,0,0,1,2,0,0,0,3,0
300,1,337,10,12,46,1,1,2,2,0,0,3,0,0,0,3,1
301,0,337,4,12,36,3,0,3,1,1,0,2,0,0,0,2,0
302,1,336,12,7,36,1,0,1,0,3,0,1,0,0,0,1,0
303,1,336,2,10,24,2,0,0,0,0,1,3,0,0,0,4,1
304,1,335,10,12,72,2,1,1,2,1,2,2,0,0,0,4,1
305,0,335,20,8,56,1,1,3,1,0,0,1,1,0,0,2,1
306,1,335,34,12,80,4,1,3,2,0,0,1,0,0,0,1,0
307,1,335,18,12,66,1,0,5,1,1,0,0,0,0,0,0,0
308,0,335,24,3,30,1,0,0,1,1,0,1,0,0,0,1,0
309,1,335,30,4,50,1,0,2,0,0,1,1,0,0,0,2,0
310,1,334,4,10,46,1,2,2,1,1,1,0,0,0,0,1,0
311,0,334,2,7,26,0,0,3,1,0,0,0,1,0,0,1,0
312,0,334,4,12,30,1,1,3,0,0,0,0,0,0,0,0,0
313,0,334,8,7,24,3,0,1,1,0,0,0,0,0,0,0,0
314,1,334,16,12,78,2,0,1,2,0,0,0,0,0,0,0,0
315,1,334,4,7,36,0,0,1,0,0,0,0,0,0,0,0,1
316,1,333,18,11,62,0,1,4,2,3,2,1,0,0,0,3,0
317,1,333,4,3,20,0,0,0,0,0,0,0,1,0,0,1,0
318,1,332,12,10,48,2,1,3,1,0,1,0,1,0,1,3,0
319,1,332,4,11,36,0,0,1,2,1,1,2,0,0,0,3,0
320,1,332,8,7,42,3,0,1,0,0,1,1,1,0,1,4,0
321,0,332,28,5,44,2,0,0,1,1,0,1,0,0,2,3,0
322,0,332,4,7,18,1,0,1,0,0,0,0,0,0,0,0,0
323,0,331,8,11,64,1,1,3,1,0,2,1,0,0,0,3,1
324,1,331,14,8,30,2,0,2,2,2,0,0,1,1,0,2,0
325,1,331,8,7,32,0,0,0,2,1,0,0,0,0,1,1,0
326,1,330,10,10,38,0,0,2,2,1,1,0,0,0,0,1,0
327,1,330,14,6,34,3,0,0,0,3,0,0,0,1,0,1,0
328,0,330,4,4,14,0,1,0,0,0,0,0,0,0,0,0,0
329,1,330,34,8,76,2,1,2,0,0,2,1,0,0,0,3,0
330,1,330,16,3,22,0,0,1,0,1,0,0,0,0,0,0,0
331,1,330,8,7,32,1,2,1,0,0,0,0,1,0,0,1,0
332,1,330,12,10,58,2,0,2,2,0,0,0,0,0,0,0,1
333,1,330,12,7,48,1,0,1,2,1,1,0,0,0,0,1,0
334,1,329,12,8,36,0,1,0,0,1,0,1,0,0,0,1,0
335,1,329,14,3,24,0,0,1,0,0,2,0,0,0,0,2,0
336,0,329,16,5,36,2,0,1,1,0,1,0,0,0,0,1,0
337,1,329,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
338,0,329,2,8,42,3,0,1,1,0,0,0,0,0,0,0,0
339,0,329,2,8,28,2,0,2,1,0,0,1,0,0,0,1,0
340,1,328,12,10,36,3,2,1,0,1,0,0,0,0,0,0,0
341,0,328,24,3,40,0,0,1,0,0,0,0,0,0,0,0,0
342,1,328,4,5,18,0,0,1,0,0,0,1,0,0,0,1,0
343,1,328,10,3,16,0,0,1,0,1,0,0,0,0,0,0,0
344,1,328,8,2,16,0,0,1,0,0,1,0,0,0,0,1,0
345,1,328,34,7,56,1,0,2,1,0,3,0,0,0,0,3,0
346,0,328,8,12,70,2,0,2,1,1,0,1,0,0,0,1,0
347,0,327,16,2,24,0,0,0,1,0,0,1,0,0,0,1,0
348,1,327,12,10,66,2,1,3,1,0,0,2,0,0,0,2,0
349,0,327,16,2,20,0,1,1,0,0,0,1,1,0,0,2,1
350,0,327,8,2,14,0,0,0,1,0,0,1,1,0,0,2,0
351,1,327,10,2,12,0,0,0,0,0,0,1,0,0,0,1,0
352,0,327,10,11,64,1,0,1,1,2,0,1,0,1,0,2,0
353,1,327,12,3,28,1,0,1,0,0,0,0,0,0,0,0,1
354,0,326,22,4,38,2,0,0,1,0,0,1,0,0,0,1,0
355,1,326,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
356,1,326,14,8,38,1,3,1,0,1,0,0,0,0,0,0,0
357,1,326,26,5,48,0,0,0,1,1,0,0,1,0,0,1,0
358,0,326,14,6,44,0,0,0,0,2,0,1,2,0,0,3,0
359,0,326,8,2,14,0,1,0,0,0,0,1,0,0,0,1,0
360,1,326,20,2,24,0,0,1,0,0,0,1,0,0,0,1,0
361,1,326,12,4,28,1,0,1,0,0,0,0,1,0,0,1,0
362,0,326,12,2,20,1,0,0,0,0,0,0,0,0,0,0,0
363,1,325,12,2,18,1,0,0,0,0,0,0,0,0,0,0,0
364,0,325,8,3,16,0,0,0,0,0,0,1,0,0,0,1,0
365,1,325,16,2,18,0,0,0,0,0,1,1,0,0,0,2,0
366,1,325,16,2,20,0,0,1,0,0,0,0,0,0,0,0,0
367,1,325,14,2,20,0,0,1,0,0,0,0,0,0,0,0,0
368,0,325,6,4,28,0,1,1,0,1,0,0,0,0,0,0,0
369,1,325,10,2,14,0,0,1,0,0,0,0,0,0,0,0,0
370,0,324,34,4,54,1,0,1,0,0,0,2,1,0,0,3,0
371,1,324,2,3,18,0,0,0,0,1,0,0,0,0,0,0,0
372,0,324,14,2,22,0,0,1,0,0,1,0,0,0,0,1,0
373,0,324,16,10,44,2,2,2,1,1,0,0,0,0,0,0,0
374,1,324,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0
375,1,324,20,2,22,1,0,0,0,0,0,0,0,0,0,0,0
376,1,324,30,2,38,1,0,1,0,0,1,0,0,0,0,1,0
377,1,324,22,2,30,1,1,0,0,0,0,0,0,0,0,0,0
378,1,323,12,2,18,0,0,1,0,0,0,0,0,0,0,0,0
379,0,323,16,6,44,0,1,1,0,2,2,0,0,0,0,2,0
380,1,323,10,7,46,1,1,1,1,1,0,1,0,0,0,1,1
381,1,323,12,7,26,2,1,1,0,0,0,1,0,0,0,1,1
382,1,323,26,2,34,0,0,0,0,0,0,0,1,0,0,1,0
383,1,323,14,10,50,1,1,3,2,1,0,3,0,0,0,3,0
